"","catNum","type","vertebra","measure","value","logValue","sex","spp","logBMSS","fightStyle"
"1","117402","linear","C2","CH",12.39,1.09307130637606,"female","Pseudois nayaur",1.59659709562646,"ram"
"2","117402","linear","C3","CH",13.61,1.13385812520333,"female","Pseudois nayaur",1.59659709562646,"ram"
"3","117402","linear","C4","CH",13.73,1.13767053723676,"female","Pseudois nayaur",1.59659709562646,"ram"
"4","117402","linear","C5","CH",13.6,1.13353890837022,"female","Pseudois nayaur",1.59659709562646,"ram"
"5","117402","linear","C6","CH",12.72,1.1044871113124,"female","Pseudois nayaur",1.59659709562646,"ram"
"6","117402","linear","C7","CH",13.1,1.11727129565576,"female","Pseudois nayaur",1.59659709562646,"ram"
"7","117402","linear","T1","CH",13.18,1.11991541025799,"female","Pseudois nayaur",1.59659709562646,"ram"
"8","122606","linear","C2","CH",43.31,1.63658818372984,"female","Bison bison",2.65590641818022,"ram"
"9","122606","linear","C3","CH",44.12,1.64463550376815,"female","Bison bison",2.65590641818022,"ram"
"10","122606","linear","C4","CH",44.57,1.64904263408618,"female","Bison bison",2.65590641818022,"ram"
"11","122606","linear","C5","CH",44.18,1.64522571153542,"female","Bison bison",2.65590641818022,"ram"
"12","122606","linear","C6","CH",43.66,1.64008373137312,"female","Bison bison",2.65590641818022,"ram"
"13","122606","linear","C7","CH",43.2,1.63548374681491,"female","Bison bison",2.65590641818022,"ram"
"14","122606","linear","T1","CH",37.11,1.56949095434878,"female","Bison bison",2.65590641818022,"ram"
"15","123044","linear","C2","CH",27.64,1.44153803870216,"male","Ovis dalli",1.90525604874845,"ram"
"16","123044","linear","C3","CH",28.84,1.45999525604739,"male","Ovis dalli",1.90525604874845,"ram"
"17","123044","linear","C4","CH",30.21,1.48015072527328,"male","Ovis dalli",1.90525604874845,"ram"
"18","123044","linear","C5","CH",30.51,1.48444220764241,"male","Ovis dalli",1.90525604874845,"ram"
"19","123044","linear","C6","CH",28.98,1.46209838113516,"male","Ovis dalli",1.90525604874845,"ram"
"20","123044","linear","C7","CH",24.08,1.38165648258579,"male","Ovis dalli",1.90525604874845,"ram"
"21","123044","linear","T1","CH",22.43,1.35082927358297,"male","Ovis dalli",1.90525604874845,"ram"
"22","123092","linear","C2","CH",19.18,1.28284860283464,"female","Ovis dalli",1.72672720902657,"ram"
"23","123092","linear","C3","CH",20.15,1.30427505047713,"female","Ovis dalli",1.72672720902657,"ram"
"24","123092","linear","C4","CH",21.33,1.32899085544943,"female","Ovis dalli",1.72672720902657,"ram"
"25","123092","linear","C5","CH",22,1.34242268082221,"female","Ovis dalli",1.72672720902657,"ram"
"26","123092","linear","C6","CH",21.46,1.33162971762993,"female","Ovis dalli",1.72672720902657,"ram"
"27","123092","linear","C7","CH",19.81,1.29688447553855,"female","Ovis dalli",1.72672720902657,"ram"
"28","123092","linear","T1","CH",17.76,1.24944296144258,"female","Ovis dalli",1.72672720902657,"ram"
"29","127195","linear","C2","CH",29.72,1.47304880508854,"female","Damaliscus lunatus",2.07954300740291,"wrestle"
